	Viewed	Search type	Result type
(14184, 3)	Viewed	Workspace	Results
(46800, 4)	Viewed	Workspace	Saved
(29203, 16)	Viewed	Part	Results
(3438, 2)	Viewed	Keyword	Results
(7278, 8)	Viewed	Part	Results
(29089, 4)	Viewed	Workspace	Results
(18775, 4)	Viewed	Keyword	Results
(24634, 3)	Viewed	Part	Saved
(19756, 7)	Viewed	Part	Saved
(27023, 3)	Viewed	Part	Results
(40025, 10)	Viewed	Workspace	Results
(10926, 115)	Viewed	Part	Saved
(43142, 43)	Viewed	Keyword	Results
(3156, 14)	Viewed	Part	Saved
(38346, 6)	Viewed	Part	Results
(48210, 15)	Viewed	Keyword	Results
(19312, 4)	Viewed	Keyword	Results
(2758, 12)	Viewed	Part	Results
(3537, 4)	Viewed	Keyword	Results
(42524, 20)	Viewed	Workspace	Results
(41729, 17)	Viewed	Workspace	Results
(41093, 11)	Viewed	Part	Results
(18511, 4)	Viewed	Part	Results
(47119, 31)	Viewed	Part	Results
(45011, 6)	Viewed	Workspace	Results
(14247, 4)	Viewed	Part	Saved
(24664, 3)	Viewed	Part	Results
(16092, 11)	Viewed	Workspace	Results
(46111, 4)	Viewed	Part	Results
(8405, 2)	Viewed	Keyword	Results
(19979, 6)	Viewed	Workspace	Saved
(47116, 20)	Viewed	Keyword	Results
(6878, 4)	Viewed	Part	Results
(12088, 2)	Viewed	Keyword	Saved
(48387, 22)	Viewed	Part	Results
(1735, 4)	Viewed	Workspace	Results
(46948, 3)	Viewed	Part	Saved
(34637, 6)	Viewed	Keyword	Results
(4389, 2)	Viewed	Keyword	Results
(44502, 22)	Viewed	Workspace	Results
(12188, 8)	Viewed	Workspace	Results
(18124, 46)	Viewed	Keyword	Results
(41671, 2)	Viewed	Workspace	Saved
(6089, 2)	Viewed	Keyword	Results
(7118, 2)	Viewed	Workspace	Results
(41749, 6)	Viewed	Part	Saved
(13681, 21)	Viewed	Keyword	Results
(27898, 4)	Viewed	Workspace	Results
(40952, 8)	Viewed	Workspace	Results
(46377, 15)	Viewed	Keyword	Results
(45766, 35)	Viewed	Keyword	Results
(27170, 4)	Viewed	Workspace	Results
(45156, 2)	Viewed	Keyword	Results
(37328, 3)	Viewed	Workspace	Results
(7768, 63)	Viewed	Part	Results
(32689, 5)	Viewed	Keyword	Results
(16343, 8)	Viewed	Part	Saved
(30341, 11)	Viewed	Keyword	Results
(40389, 12)	Viewed	Workspace	Results
(49008, 53)	Viewed	Keyword	Results
(42149, 7)	Viewed	Workspace	Results
(894, 2)	Viewed	Workspace	Results
(30078, 11)	Viewed	Keyword	Results
(37109, 7)	Viewed	Workspace	Results
(5630, 3)	Viewed	Keyword	Results
(39409, 3)	Viewed	Workspace	Results
(40520, 9)	Viewed	Workspace	Results
(24436, 11)	Viewed	Workspace	Results
(34160, 6)	Viewed	Part	Results
(45690, 36)	Viewed	Part	Results
(5234, 5)	Viewed	Workspace	Results
(23001, 11)	Viewed	Part	Saved
(30564, 33)	Viewed	Keyword	Results
(22571, 6)	Viewed	Workspace	Saved
(12305, 70)	Viewed	Workspace	Results
(7254, 2)	Viewed	Workspace	Results
(10884, 5)	Viewed	Workspace	Saved
(31518, 15)	Viewed	Workspace	Results
(30989, 9)	Viewed	Workspace	Results
(20937, 15)	Viewed	Keyword	Results
(4163, 3)	Viewed	Part	Results
(12188, 40)	Viewed	Workspace	Saved
(8463, 1)	Viewed	Keyword	Saved
(18513, 17)	Viewed	Part	Results
(21095, 5)	Viewed	Workspace	Saved
(10471, 2)	Viewed	Workspace	Results
(27331, 24)	Viewed	Workspace	Results
(30341, 4)	Viewed	Part	Saved
(40210, 28)	Viewed	Keyword	Results
(4575, 7)	Viewed	Workspace	Results
(37494, 8)	Viewed	Workspace	Results
(14296, 9)	Viewed	Keyword	Results
(3661, 3)	Viewed	Keyword	Saved
(13580, 13)	Viewed	Part	Results
(12425, 33)	Viewed	Keyword	Saved
